canonical_name_en,canonical_name_he,category,muscle_group_primary,equipment,is_active
Snowboarding,סנובורד,cardio,Cardio,none,true
Spiderman,ספיידרמן,core,Abdominals,none,true
Sprints,ספרינטים,cardio,Cardio,none,true
Squat (Bodyweight),סקוואט במשקל גוף,legs,Quadriceps,none,true
Standing Calf Raise,עליות עקב בעמידה,legs,Calves,none,true
Stretching,מתיחות,other,Other,none,true
Sumo Squat,סקוואט סומו,legs,Quadriceps,none,true
Superman,סופרמן,back,Lower Back,none,true
Swimming,שחייה,cardio,Cardio,none,true
Toe Touch,נגיעת אצבעות הרגליים,core,Abdominals,none,true
Toes to Bar,הרמת כפות הרגליים למוט (Toes to Bar),core,Abdominals,none,true
V Up,כפיפות בטן V,core,Abdominals,none,true
Walking,הליכה,cardio,Cardio,none,true
Walking Lunge,לאנג׳ הליכה,legs,Quadriceps,none,true
Warm Up,חימום,full_body,Full Body,none,true
Yoga,יוגה,full_body,Full Body,none,true
Shrug (Smith Machine),הרמת כתפיים במכונת סמית׳,back,Traps,machine,true
Single Arm Cable Crossover,קרוסאובר בכבל ביד אחת,chest,Chest,machine,true
Single Arm Cable Row,חתירה בכבל ביד אחת,back,Upper Back,machine,true
Single Arm Curl (Cable),כפיפת מרפק בכבל ביד אחת,arms,Biceps,machine,true
Single Arm Lat Pulldown,משיכת פולי עליון ביד אחת,back,Lats,machine,true
Single Arm Lateral Raise (Cable),הרחקת כתף לצד בכבל ביד אחת,shoulders,Shoulders,machine,true
Single Arm Triceps Pushdown (Cable),פשיטת מרפק בכבל ביד אחת,arms,Triceps,machine,true
Single Leg Extensions,פשיטת ברך במכונה ברגל אחת,legs,Quadriceps,machine,true
Single Leg Press (Machine),לחיצת רגל במכונה (רגל אחת),legs,Quadriceps,machine,true
Seated Chest Flys (Cable),פרפר חזה בישיבה בכבלים,chest,Chest,machine,true
Seated Dip Machine,פשיטת מרפקים במכונת מקבילים בישיבה,arms,Triceps,machine,true
Seated Leg Curl (Machine),כפיפת ברכיים בישיבה במכונה,legs,Hamstrings,machine,true
Seated Row (Machine),חתירה בישיבה במכונה,back,Upper Back,machine,true
Seated Shoulder Press (Machine),לחיצת כתפיים בישיבה במכונה,shoulders,Shoulders,machine,true
Seated Triceps Press,לחיצת טרייספס בישיבה,arms,Triceps,machine,true
Shoulder Press (Machine Plates),לחיצת כתפיים במכונה טעונת פלטות,shoulders,Shoulders,machine,true
Shrug (Cable),הרמת כתפיים בכבל,back,Traps,machine,true
Shrug (Machine),הרמת כתפיים במכונה,back,Traps,machine,true
Reverse Grip Lat Pulldown (Cable),משיכת פולי עליון בכבל באחיזה הפוכה,back,Lats,machine,true
Reverse Hyperextension,היפראקסטנשן הפוך,legs,Glutes,machine,true
Rope Cable Curl,כפיפת מרפקים בכבל עם חבל,arms,Biceps,machine,true
Rope Straight Arm Pulldown,משיכת פולי עליון בידיים ישרות עם חבל,back,Lats,machine,true
Rowing Machine,מכשיר חתירה,cardio,Cardio,machine,true
Seated Cable Row - Bar Grip,חתירה בישיבה בכבל באחיזת מוט,back,Upper Back,machine,true
Seated Cable Row - Bar Wide Grip,חתירה בישיבה בכבל באחיזה רחבה,back,Upper Back,machine,true
Seated Cable Row - V Grip (Cable),חתירה בישיבה בכבל באחיזת V,back,Upper Back,machine,true
Seated Calf Raise,עליות עקב בישיבה,legs,Calves,machine,true
Pull Up,מתח,back,Lats,machine,true
Pull Up (Assisted),מתח בסיוע,back,Lats,machine,true
Pull Up (Weighted),מתח עם משקל,back,Lats,machine,true
Pullover (Machine),פולאובר במכונה,back,Lats,machine,true
Rear Delt Reverse Fly (Cable),פרפר הפוך לכתף אחורית בכבל,shoulders,Shoulders,machine,true
Rear Delt Reverse Fly (Machine),פרפר הפוך לכתף אחורית במכונה,shoulders,Shoulders,machine,true
Rear Kick (Machine),בעיטת ישבן לאחור במכונה,legs,Glutes,machine,true
Reverse Curl (Cable),כפיפת מרפקים באחיזה הפוכה בכבל,arms,Biceps,machine,true
Reverse Fly Single Arm (Cable),פרפר הפוך בכבל ביד אחת,shoulders,Shoulders,machine,true
Leg Raise Parallel Bars,הרמת רגליים במקבילים,core,Abdominals,machine,true
Low Cable Fly Crossovers,קרוסאובר בכבלים מלמטה,chest,Chest,machine,true
Lying Leg Curl (Machine),כפיפת ברכיים בשכיבה במכונה,legs,Hamstrings,machine,true
Muscle Up,מאסל־אפ,full_body,Full Body,machine,true
Overhead Curl (Cable),כפיפת מרפקים מעל הראש בכבל,arms,Biceps,machine,true
Overhead Press (Smith Machine),לחיצת כתפיים מעל הראש במכונת סמית׳,shoulders,Shoulders,machine,true
Overhead Triceps Extension (Cable),פשיטת מרפקים מעל הראש בכבל,arms,Triceps,machine,true
Pendulum Squat (Machine),סקוואט מטוטלת במכונה,legs,Quadriceps,machine,true
Preacher Curl (Machine),כפיפת מרפקים על ספסל כומר במכונה,arms,Biceps,machine,true
Single Leg Standing Calf Raise (Machine),עליית עקב בעמידה על רגל אחת במכונה,legs,Calves,machine,true
Ski Erg,מכשיר סקי ארגומטרי (SkiErg),cardio,Cardio,machine,true
Spinning,ספינינג,cardio,Cardio,machine,true
Squat (Machine),סקוואט במכונה,legs,Quadriceps,machine,true
Squat (Smith Machine),סקוואט במכונת סמית׳,legs,Quadriceps,machine,true
Squat Row,סקוואט עם חתירה,full_body,Full Body,machine,true
Stair Machine (Floors),מכשיר מדרגות — מדידה בקומות,cardio,Cardio,machine,true
Stair Machine (Steps),מכשיר מדרגות — מדידה בצעדים,cardio,Cardio,machine,true
Standing Cable Glute Kickbacks,בעיטת ישבן לאחור בעמידה בכבל,legs,Glutes,machine,true
Standing Calf Raise (Machine),עליות עקב בעמידה במכונה,legs,Calves,machine,true
Standing Calf Raise (Smith),עליות עקב בעמידה במכונת סמית׳,legs,Calves,machine,true
Standing Leg Curls,כפיפת ברך בעמידה,legs,Hamstrings,machine,true
Sternum Pull up (Gironda),מתח לחזה בסגנון ג׳ירונדה,back,Lats,machine,true
Straight Arm Lat Pulldown (Cable),משיכת פולי עליון בכבל בידיים ישרות,back,Lats,machine,true
Torso Rotation,סיבוב גו,core,Abdominals,machine,true
Treadmill,הליכון,cardio,Cardio,machine,true
Triceps Dip,מקבילים לטרייספס,arms,Triceps,machine,true
Triceps Dip (Assisted),מקבילים לטרייספס בסיוע,arms,Triceps,machine,true
Triceps Dip (Weighted),מקבילים לטרייספס עם משקל,arms,Triceps,machine,true
Triceps Extension (Cable),פשיטת מרפקים בכבל,arms,Triceps,machine,true
Triceps Extension (Machine),פשיטת מרפקים במכונה,arms,Triceps,machine,true
Triceps Kickback (Cable),פשיטת מרפק לאחור בכבל,arms,Triceps,machine,true
Triceps Pressdown,פשיטת מרפקים בפולי עליון,arms,Triceps,machine,true
Triceps Pushdown,פשיטת מרפקים בכבל כלפי מטה,arms,Triceps,machine,true
Triceps Rope Pushdown,פשיטת מרפקים בכבל עם חבל,arms,Triceps,machine,true
Upright Row (Cable),חתירה אנכית בכבל,shoulders,Shoulders,machine,true
Vertical Traction (Machine),משיכה אנכית במכונה,back,Lats,machine,true
Wide Pull Up,מתח באחיזה רחבה,back,Lats,machine,true
Wrist Roller,גלגלת לאמות ולשורש כף היד,arms,Forearms,machine,true
Kneeling Pulldown (band),משיכת גומייה מלמעלה בכריעה,back,Lats,machine,true
Lat Pulldown - Close Grip (Cable),משיכת פולי עליון בכבל באחיזה צרה,back,Lats,machine,true
Lat Pulldown (Cable),משיכת פולי עליון בכבל,back,Lats,machine,true
Lat Pulldown (Machine),משיכת פולי עליון במכונה,back,Lats,machine,true
Lateral Raise (Cable),הרחקת כתפיים לצדדים בכבל,shoulders,Shoulders,machine,true
Lateral Raise (Machine),הרחקת כתפיים לצדדים במכונה,shoulders,Shoulders,machine,true
Leg Extension (Machine),פשיטת ברכיים במכונה,legs,Quadriceps,machine,true
Leg Press (Machine),לחיצת רגליים במכונה,legs,Quadriceps,machine,true
Leg Press Horizontal (Machine),לחיצת רגליים אופקית במכונה,legs,Quadriceps,machine,true
Incline Bench Press (Smith Machine),לחיצת חזה בשיפוע חיובי במכונת סמית׳,chest,Chest,machine,true
Incline Chest Press (Machine),לחיצת חזה בשיפוע חיובי במכונה,chest,Chest,machine,true
Inverted Row,חתירה הפוכה,back,Upper Back,machine,true
Iso-Lateral Chest Press (Machine),לחיצת חזה איזו־לטרלית במכונה,chest,Chest,machine,true
Iso-Lateral High Row (Machine),חתירה גבוהה איזו־לטרלית במכונה,back,Lats,machine,true
Iso-Lateral Low Row,חתירה נמוכה איזו־לטרלית,back,Upper Back,machine,true
Iso-Lateral Row (Machine),חתירה איזו־לטרלית במכונה,back,Upper Back,machine,true
Kipping Pull Up,מתח קיפינג,back,Lats,machine,true
Knee Raise Parallel Bars,הרמת ברכיים במקבילים,core,Abdominals,machine,true
Front Raise (Cable),הרמת ידיים לפנים בכבל,shoulders,Shoulders,machine,true
Glute Ham Raise,עליית גלוט־המסטרינג (GHR),legs,Hamstrings,machine,true
Glute Kickback (Machine),בעיטת ישבן לאחור במכונה,legs,Glutes,machine,true
Hack Squat (Machine),האק סקוואט במכונה,legs,Quadriceps,machine,true
Hammer Curl (Cable),כפיפת מרפקים באחיזת פטיש בכבל,arms,Biceps,machine,true
Hip Abduction (Machine),הרחקת ירכיים במכונה,legs,Abductors,machine,true
Hip Adduction (Machine),קירוב ירכיים במכונה,legs,Adductors,machine,true
Hip Thrust (Machine),היפ תראסט במכונה,legs,Glutes,machine,true
Hip Thrust (Smith Machine),היפ תראסט במכונת סמית׳,legs,Glutes,machine,true
Chin Up (Assisted),מתח באחיזה תחתית בסיוע,back,Lats,machine,true
Chin Up (Weighted),מתח באחיזה תחתית עם משקל,back,Lats,machine,true
Crunch (Machine),כפיפות בטן במכונה,core,Abdominals,machine,true
Cycling,רכיבה על אופניים,cardio,Cardio,machine,true
Deadlift (Smith Machine),דדליפט במכונת סמית׳,legs,Glutes,machine,true
Decline Bench Press (Machine),לחיצת חזה בשיפוע שלילי במכונה,chest,Chest,machine,true
Decline Bench Press (Smith Machine),לחיצת חזה בשיפוע שלילי במכונת סמית׳,chest,Chest,machine,true
Elliptical Trainer,מכשיר אליפטי,cardio,Cardio,machine,true
Face Pull,משיכת חבל לפנים (פייס פול),shoulders,Shoulders,machine,true
Cable Twist (Up to down),סיבוב גו בכבל מלמעלה למטה,core,Abdominals,machine,true
Calf Extension (Machine),עליות עקב במכונה,legs,Calves,machine,true
Calf Press (Machine),לחיצת תאומים במכונה,legs,Calves,machine,true
Chest Dip,מקבילים בדגש חזה,chest,Chest,machine,true
Chest Dip (Assisted),מקבילים בדגש חזה בסיוע,chest,Chest,machine,true
Chest Dip (Weighted),מקבילים בדגש חזה עם משקל,chest,Chest,machine,true
Chest Fly (Machine),פרפר חזה במכונה,chest,Chest,machine,true
Chest Press (Machine),לחיצת חזה במכונה,chest,Chest,machine,true
Chin Up,מתח באחיזה תחתית,back,Lats,machine,true
Lying Neck Curls (Weighted),כפיפת צוואר בשכיבה עם משקל,neck,Neck,plate,true
Lying Neck Extension (Weighted),פשיטת צוואר בשכיבה עם משקל,neck,Neck,plate,true
Overhead Plate Raise,הרמת פלטה מעל הראש,shoulders,Shoulders,plate,true
Plate Curl,כפיפת מרפקים עם פלטה,arms,Biceps,plate,true
Plate Front Raise,הרמת פלטה לפנים,shoulders,Shoulders,plate,true
Plate Press,לחיצת פלטה,chest,Chest,plate,true
Plate Squeeze (Svend Press),לחיצת סוונד עם פלטות,chest,Chest,plate,true
Russian Twist (Weighted),פיתולי גו רוסיים עם משקל,core,Abdominals,plate,true
Ab Wheel,גלגלת בטן,core,Abdominals,other,true
Ball Slams,הטחת כדור כוח,full_body,Full Body,other,true
Bench Dip,מקבילים על ספסל,arms,Triceps,other,true
Box Jump,קפיצה לקופסה,legs,Quadriceps,other,true
Decline Push Up,שכיבות סמיכה בשיפוע שלילי,chest,Chest,other,true
Farmers Walk,הליכת חוואי,full_body,Full Body,other,true
Jump Rope,קפיצה בחבל,cardio,Cardio,other,true
Lateral Box Jump,קפיצה צידית לקופסה,legs,Quadriceps,other,true
Ring Pull Up,מתח על טבעות,back,Lats,other,true
Ring Push Up,שכיבות סמיכה על טבעות,chest,Chest,other,true
Sled Pull,משיכת מזחלת,full_body,Full Body,other,true
Sled Push,דחיפת מזחלת,full_body,Full Body,other,true
Step Up,עלייה למדרגה,legs,Quadriceps,other,true
Walking Lunge (Sandbag),לאנג׳ הליכה עם שק חול,legs,Quadriceps,other,true
Wall Ball,סקוואט וזריקת כדור לקיר (Wall Ball),full_body,Full Body,other,true
Wall Sit,ישיבת קיר,legs,Quadriceps,other,true
Bicep Curl (Suspension),כפיפת מרפקים ברצועות תלייה,arms,Biceps,suspension_band,true
Chest Fly (Suspension),פרפר חזה ברצועות תלייה,chest,Chest,suspension_band,true
Front Raise (Suspension),הרמת ידיים לפנים ברצועות תלייה,shoulders,Shoulders,suspension_band,true
Jack Knife (Suspension),ג׳קנייף ברצועות תלייה,core,Abdominals,suspension_band,true
Low Row (Suspension),חתירה נמוכה ברצועות תלייה,back,Upper Back,suspension_band,true
Squat (Suspension),סקוואט ברצועות תלייה,legs,Quadriceps,suspension_band,true
Triceps Extension (Suspension),פשיטת מרפקים ברצועות תלייה,arms,Triceps,suspension_band,true
Band Pullaparts,פתיחת גומייה לצדדים,shoulders,Shoulders,resistance_band,true
Bent Over Row (Band),חתירה בכפיפה עם גומייה,back,Upper Back,resistance_band,true
Chest Fly (Band),פרפר חזה עם גומייה,chest,Chest,resistance_band,true
Chest Press (Band),לחיצת חזה עם גומייה,chest,Chest,resistance_band,true
Clamshell,פתיחת ברכיים בשכיבה על הצד (צדפה),legs,Glutes,resistance_band,true
Deadlift (Band),דדליפט עם גומייה,legs,Glutes,resistance_band,true
Front Raise (Band),הרמת ידיים לפנים עם גומייה,shoulders,Shoulders,resistance_band,true
Hammer Curl (Band),כפיפת מרפקים באחיזת פטיש עם גומייה,arms,Biceps,resistance_band,true
Lat Pulldown (Band),משיכת גומייה מלמעלה,back,Lats,resistance_band,true
Lateral Band Walks,הליכה צידית עם גומייה,legs,Glutes,resistance_band,true
Lateral Raise (Band),הרחקת כתפיים לצדדים עם גומייה,shoulders,Shoulders,resistance_band,true
Pull Up (Band),מתח בסיוע גומייה,back,Lats,resistance_band,true
Squat (Band),סקוואט עם גומייה,legs,Quadriceps,resistance_band,true
Gorilla Row (Kettlebell),חתירת גורילה עם קטלבל,back,Upper Back,kettlebell,true
Kettlebell Around the World,העברת קטלבל סביב הגוף,shoulders,Shoulders,kettlebell,true
Kettlebell Clean,קלין עם קטלבל,full_body,Full Body,kettlebell,true
Kettlebell Curl,כפיפת מרפקים עם קטלבל,arms,Biceps,kettlebell,true
Kettlebell Goblet Squat,סקוואט גביע עם קטלבל,legs,Quadriceps,kettlebell,true
Kettlebell Halo,סיבוב קטלבל סביב הראש (Halo),shoulders,Shoulders,kettlebell,true
Kettlebell High Pull,משיכה גבוהה עם קטלבל,full_body,Full Body,kettlebell,true
Kettlebell Shoulder Press,לחיצת כתף עם קטלבל,shoulders,Shoulders,kettlebell,true
Kettlebell Snatch,סנאץ׳ עם קטלבל,full_body,Full Body,kettlebell,true
Kettlebell Swing,סווינג עם קטלבל,full_body,Full Body,kettlebell,true
Kettlebell Turkish Get Up,קימה טורקית עם קטלבל,full_body,Full Body,kettlebell,true
Sumo Squat (Kettlebell),סקוואט סומו עם קטלבל,legs,Quadriceps,kettlebell,true
Thruster (Kettlebell),ת׳ראסטר עם קטלבל,full_body,Full Body,kettlebell,true
Walking Lunge (Dumbbell),לאנג׳ הליכה עם משקולות יד,legs,Quadriceps,dumbbell,true
Wide-Elbow Triceps Press (Dumbbell),לחיצת טרייספס במרפקים רחבים עם משקולות יד,arms,Triceps,dumbbell,true
Zottman Curl (Dumbbell),כפיפת מרפקים זוטמן עם משקולות יד,arms,Biceps,dumbbell,true
Spider Curl (Dumbbell),כפיפת מרפקים ספיידר עם משקולות יד,arms,Biceps,dumbbell,true
Split Squat (Dumbbell),ספליט סקוואט עם משקולות יד,legs,Quadriceps,dumbbell,true
Squat (Dumbbell),סקוואט עם משקולות יד,legs,Quadriceps,dumbbell,true
Standing Calf Raise (Dumbbell),עליות עקב בעמידה עם משקולות יד,legs,Calves,dumbbell,true
Sumo Squat (Dumbbell),סקוואט סומו עם משקולות יד,legs,Quadriceps,dumbbell,true
Triceps Extension (Dumbbell),פשיטת מרפקים עם משקולות יד,arms,Triceps,dumbbell,true
Triceps Kickback (Dumbbell),פשיטת מרפקים לאחור עם משקולות יד,arms,Triceps,dumbbell,true
Upright Row (Dumbbell),חתירה אנכית עם משקולות יד,shoulders,Shoulders,dumbbell,true
Waiter Curl (Dumbbell),כפיפת מרפקים באחיזת מלצר עם משקולת יד,arms,Biceps,dumbbell,true
Seated Palms Up Wrist Curl,"כפיפת שורש כף היד בישיבה, כפות ידיים כלפי מעלה",arms,Forearms,dumbbell,true
Shoulder Press (Dumbbell),לחיצת כתפיים עם משקולות יד,shoulders,Shoulders,dumbbell,true
Shrug (Dumbbell),הרמת כתפיים עם משקולות יד,back,Traps,dumbbell,true
Side Bend (Dumbbell),כפיפת גו לצד עם משקולת יד,core,Abdominals,dumbbell,true
Single Arm Tricep Extension (Dumbbell),פשיטת מרפק ביד אחת עם משקולת יד,arms,Triceps,dumbbell,true
Single Leg Hip Thrust (Dumbbell),היפ תראסט על רגל אחת עם משקולת יד,legs,Glutes,dumbbell,true
Single Leg Romanian Deadlift (Dumbbell),דדליפט רומני על רגל אחת עם משקולות יד,legs,Hamstrings,dumbbell,true
Single Leg Standing Calf Raise (Dumbbell),עליית עקב בעמידה על רגל אחת עם משקולת יד,legs,Calves,dumbbell,true
Skullcrusher (Dumbbell),פשיטת מרפקים בשכיבה (סקאל קראשר) עם משקולות יד,arms,Triceps,dumbbell,true
Rear Delt Reverse Fly (Dumbbell),פרפר הפוך לכתף אחורית עם משקולות יד,shoulders,Shoulders,dumbbell,true
Renegade Row (Dumbbell),חתירת רנגייד עם משקולות יד,back,Upper Back,dumbbell,true
Reverse Curl (Dumbbell),כפיפת מרפקים באחיזה הפוכה עם משקולות יד,arms,Biceps,dumbbell,true
Reverse Grip Concentration Curl,כפיפת מרפק בריכוז באחיזה הפוכה,arms,Biceps,dumbbell,true
Reverse Lunge (Dumbbell),לאנג׳ לאחור עם משקולות יד,legs,Quadriceps,dumbbell,true
Romanian Deadlift (Dumbbell),דדליפט רומני עם משקולות יד,legs,Hamstrings,dumbbell,true
Seated Incline Curl (Dumbbell),כפיפת מרפקים בישיבה בשיפוע עם משקולות יד,arms,Biceps,dumbbell,true
Seated Lateral Raise (Dumbbell),הרחקת כתפיים לצדדים בישיבה עם משקולות יד,shoulders,Shoulders,dumbbell,true
Seated Overhead Press (Dumbbell),לחיצת כתפיים מעל הראש בישיבה עם משקולות יד,shoulders,Shoulders,dumbbell,true
Incline Bench Press (Dumbbell),לחיצת חזה בשיפוע חיובי עם משקולות יד,chest,Chest,dumbbell,true
Incline Chest Fly (Dumbbell),פרפר חזה בשיפוע חיובי עם משקולות יד,chest,Chest,dumbbell,true
Lateral Raise (Dumbbell),הרחקת כתפיים לצדדים עם משקולות יד,shoulders,Shoulders,dumbbell,true
Lunge (Dumbbell),לאנג׳ עם משקולות יד,legs,Quadriceps,dumbbell,true
Overhead Dumbbell Lunge,לאנג׳ עם משקולות יד מעל הראש,legs,Quadriceps,dumbbell,true
Overhead Press (Dumbbell),לחיצת כתפיים מעל הראש עם משקולות יד,shoulders,Shoulders,dumbbell,true
Pinwheel Curl (Dumbbell),כפיפת מרפקים פינוויל עם משקולות יד,arms,Biceps,dumbbell,true
Preacher Curl (Dumbbell),כפיפת מרפקים על ספסל כומר עם משקולות יד,arms,Biceps,dumbbell,true
Pullover (Dumbbell),פולאובר עם משקולת יד,back,Lats,dumbbell,true
Dumbbell Snatch,סנאץ׳ עם משקולת יד,full_body,Full Body,dumbbell,true
Dumbbell Squeeze Press,לחיצת חזה בהצמדת משקולות יד,chest,Chest,dumbbell,true
Dumbbell Step Up,עלייה למדרגה עם משקולות יד,legs,Quadriceps,dumbbell,true
Floor Press (Dumbbell),לחיצת חזה בשכיבה על הרצפה עם משקולות יד,chest,Chest,dumbbell,true
Frog Pumps (Dumbbell),לחיצות גשר צפרדע עם משקולת יד,legs,Glutes,dumbbell,true
Front Raise (Dumbbell),הרמת משקולות יד לפנים,shoulders,Shoulders,dumbbell,true
Goblet Squat,סקוואט גביע,legs,Quadriceps,dumbbell,true
Hammer Curl (Dumbbell),כפיפת מרפקים באחיזת פטיש עם משקולות יד,arms,Biceps,dumbbell,true
Hex Press (Dumbbell),לחיצת חזה בהצמדת משקולות (Hex Press),chest,Chest,dumbbell,true
Chest Supported Reverse Fly (Dumbbell),פרפר הפוך בתמיכת חזה עם משקולות יד,shoulders,Shoulders,dumbbell,true
Chest Supported Y Raise (Dumbbell),הרמת ידיים לצורת Y בתמיכת חזה עם משקולות יד,shoulders,Shoulders,dumbbell,true
Concentration Curl,כפיפת מרפק בריכוז,arms,Biceps,dumbbell,true
Cross Body Hammer Curl,כפיפת מרפק באחיזת פטיש לרוחב הגוף,arms,Biceps,dumbbell,true
Curtsy Lunge (Dumbbell),לאנג׳ קידה עם משקולות יד,legs,Quadriceps,dumbbell,true
Deadlift (Dumbbell),דדליפט עם משקולות יד,legs,Glutes,dumbbell,true
Decline Bench Press (Dumbbell),לחיצת חזה בשיפוע שלילי עם משקולות יד,chest,Chest,dumbbell,true
Decline Chest Fly (Dumbbell),פרפר חזה בשיפוע שלילי עם משקולות יד,chest,Chest,dumbbell,true
Dumbbell Row,חתירה עם משקולת יד,back,Lats,dumbbell,true
