canonical_name_en,canonical_name_he,category,muscle_group_primary,equipment,is_active
Lying Neck Curls (Weighted),כפיפת צוואר בשכיבה עם משקל,neck,Neck,plate,True
Lying Neck Extension (Weighted),פשיטת צוואר בשכיבה עם משקל,neck,Neck,plate,True
Overhead Plate Raise,הרמת פלטה מעל הראש,shoulders,Shoulders,plate,True
Plate Curl,כפיפת מרפקים עם פלטה,arms,Biceps,plate,True
Plate Front Raise,הרמת פלטה לפנים,shoulders,Shoulders,plate,True
Plate Press,לחיצת פלטה,chest,Chest,plate,True
Plate Squeeze (Svend Press),לחיצת סוונד עם פלטות,chest,Chest,plate,True
Ab Wheel,גלגלת בטן,core,Abdominals,other,True
Bench Dip,מקבילים על ספסל,arms,Triceps,other,True
Decline Push Up,שכיבות סמיכה בשיפוע שלילי,chest,Chest,other,True
Ring Pull Up,מתח על טבעות,back,Lats,other,True
Walking Lunge (Dumbbell),לאנג׳ הליכה עם משקולות יד,legs,Quadriceps,dumbbell,True
Wide-Elbow Triceps Press (Dumbbell),לחיצת טרייספס במרפקים רחבים עם משקולות יד,arms,Triceps,dumbbell,True
Zottman Curl (Dumbbell),כפיפת מרפקים זוטמן עם משקולות יד,arms,Biceps,dumbbell,True
Spider Curl (Dumbbell),כפיפת מרפקים ספיידר עם משקולות יד,arms,Biceps,dumbbell,True
Split Squat (Dumbbell),ספליט סקוואט עם משקולות יד,legs,Quadriceps,dumbbell,True
Squat (Dumbbell),סקוואט עם משקולות יד,legs,Quadriceps,dumbbell,True
Standing Calf Raise (Dumbbell),עליות עקב בעמידה עם משקולות יד,legs,Calves,dumbbell,True
Sumo Squat (Dumbbell),סקוואט סומו עם משקולות יד,legs,Quadriceps,dumbbell,True
Triceps Extension (Dumbbell),פשיטת מרפקים עם משקולות יד,arms,Triceps,dumbbell,True
Triceps Kickback (Dumbbell),פשיטת מרפקים לאחור עם משקולות יד,arms,Triceps,dumbbell,True
Upright Row (Dumbbell),חתירה אנכית עם משקולות יד,shoulders,Shoulders,dumbbell,True
Waiter Curl (Dumbbell),כפיפת מרפקים באחיזת מלצר עם משקולת יד,arms,Biceps,dumbbell,True
Seated Palms Up Wrist Curl,"כפיפת שורש כף היד בישיבה, כפות ידיים כלפי מעלה",arms,Forearms,dumbbell,True
Shoulder Press (Dumbbell),לחיצת כתפיים עם משקולות יד,shoulders,Shoulders,dumbbell,True
Shrug (Dumbbell),הרמת כתפיים עם משקולות יד,back,Traps,dumbbell,True
Side Bend (Dumbbell),כפיפת גו לצד עם משקולת יד,core,Abdominals,dumbbell,True
Single Arm Tricep Extension (Dumbbell),פשיטת מרפק ביד אחת עם משקולת יד,arms,Triceps,dumbbell,True
Single Leg Hip Thrust (Dumbbell),היפ תראסט על רגל אחת עם משקולת יד,legs,Glutes,dumbbell,True
Single Leg Romanian Deadlift (Dumbbell),דדליפט רומני על רגל אחת עם משקולות יד,legs,Hamstrings,dumbbell,True
Single Leg Standing Calf Raise (Dumbbell),עליית עקב בעמידה על רגל אחת עם משקולת יד,legs,Calves,dumbbell,True
Skullcrusher (Dumbbell),פשיטת מרפקים בשכיבה (סקאל קראשר) עם משקולות יד,arms,Triceps,dumbbell,True
Rear Delt Reverse Fly (Dumbbell),פרפר הפוך לכתף אחורית עם משקולות יד,shoulders,Shoulders,dumbbell,True
Renegade Row (Dumbbell),חתירת רנגייד עם משקולות יד,back,Upper Back,dumbbell,True
Reverse Curl (Dumbbell),כפיפת מרפקים באחיזה הפוכה עם משקולות יד,arms,Biceps,dumbbell,True
Reverse Grip Concentration Curl,כפיפת מרפק בריכוז באחיזה הפוכה,arms,Biceps,dumbbell,True
Reverse Lunge (Dumbbell),לאנג׳ לאחור עם משקולות יד,legs,Quadriceps,dumbbell,True
Romanian Deadlift (Dumbbell),דדליפט רומני עם משקולות יד,legs,Hamstrings,dumbbell,True
Seated Incline Curl (Dumbbell),כפיפת מרפקים בישיבה בשיפוע עם משקולות יד,arms,Biceps,dumbbell,True
Seated Lateral Raise (Dumbbell),הרחקת כתפיים לצדדים בישיבה עם משקולות יד,shoulders,Shoulders,dumbbell,True
Seated Overhead Press (Dumbbell),לחיצת כתפיים מעל הראש בישיבה עם משקולות יד,shoulders,Shoulders,dumbbell,True
Incline Bench Press (Dumbbell),לחיצת חזה בשיפוע חיובי עם משקולות יד,chest,Chest,dumbbell,True
Incline Chest Fly (Dumbbell),פרפר חזה בשיפוע חיובי עם משקולות יד,chest,Chest,dumbbell,True
Lateral Raise (Dumbbell),הרחקת כתפיים לצדדים עם משקולות יד,shoulders,Shoulders,dumbbell,True
Lunge (Dumbbell),לאנג׳ עם משקולות יד,legs,Quadriceps,dumbbell,True
Overhead Dumbbell Lunge,לאנג׳ עם משקולות יד מעל הראש,legs,Quadriceps,dumbbell,True
Overhead Press (Dumbbell),לחיצת כתפיים מעל הראש עם משקולות יד,shoulders,Shoulders,dumbbell,True
Pinwheel Curl (Dumbbell),כפיפת מרפקים פינוויל עם משקולות יד,arms,Biceps,dumbbell,True
Preacher Curl (Dumbbell),כפיפת מרפקים על ספסל כומר עם משקולות יד,arms,Biceps,dumbbell,True
Pullover (Dumbbell),פולאובר עם משקולת יד,back,Lats,dumbbell,True
Dumbbell Snatch,סנאץ׳ עם משקולת יד,full_body,Full Body,dumbbell,True
Dumbbell Squeeze Press,לחיצת חזה בהצמדת משקולות יד,chest,Chest,dumbbell,True
Dumbbell Step Up,עלייה למדרגה עם משקולות יד,legs,Quadriceps,dumbbell,True
Floor Press (Dumbbell),לחיצת חזה בשכיבה על הרצפה עם משקולות יד,chest,Chest,dumbbell,True
Frog Pumps (Dumbbell),לחיצות גשר צפרדע עם משקולת יד,legs,Glutes,dumbbell,True
Front Raise (Dumbbell),הרמת משקולות יד לפנים,shoulders,Shoulders,dumbbell,True
Hammer Curl (Dumbbell),כפיפת מרפקים באחיזת פטיש עם משקולות יד,arms,Biceps,dumbbell,True
Hex Press (Dumbbell),לחיצת חזה בהצמדת משקולות (Hex Press),chest,Chest,dumbbell,True
Chest Supported Reverse Fly (Dumbbell),פרפר הפוך בתמיכת חזה עם משקולות יד,shoulders,Shoulders,dumbbell,True
Chest Supported Y Raise (Dumbbell),הרמת ידיים לצורת Y בתמיכת חזה עם משקולות יד,shoulders,Shoulders,dumbbell,True
Concentration Curl,כפיפת מרפק בריכוז,arms,Biceps,dumbbell,True
Cross Body Hammer Curl,כפיפת מרפק באחיזת פטיש לרוחב הגוף,arms,Biceps,dumbbell,True
Curtsy Lunge (Dumbbell),לאנג׳ קידה עם משקולות יד,legs,Quadriceps,dumbbell,True
Deadlift (Dumbbell),דדליפט עם משקולות יד,legs,Glutes,dumbbell,True
Decline Bench Press (Dumbbell),לחיצת חזה בשיפוע שלילי עם משקולות יד,chest,Chest,dumbbell,True
Decline Chest Fly (Dumbbell),פרפר חזה בשיפוע שלילי עם משקולות יד,chest,Chest,dumbbell,True
Dumbbell Row,חתירה עם משקולת יד,back,Lats,dumbbell,True
Arnold Press (Dumbbell),לחיצת ארנולד עם משקולות יד,shoulders,Shoulders,dumbbell,True
Around The World,תנועת ״מסביב לעולם״ עם משקולות יד,chest,Chest,dumbbell,True
Bench Press (Dumbbell),לחיצת חזה עם משקולות יד,chest,Chest,dumbbell,True
Bent Over Row (Dumbbell),חתירה בכפיפה עם משקולות יד,back,Upper Back,dumbbell,True
Bicep Curl (Dumbbell),כפיפת מרפקים עם משקולות יד,arms,Biceps,dumbbell,True
Bulgarian Split Squat,ספליט סקוואט בולגרי,legs,Quadriceps,dumbbell,True
Chest Fly (Dumbbell),פרפר חזה עם משקולות יד,chest,Chest,dumbbell,True
Chest Supported Incline Row (Dumbbell),חתירה בשיפוע בתמיכת חזה עם משקולות יד,back,Upper Back,dumbbell,True
Bench Press (Cable),לחיצת חזה בכבלים,chest,Chest,machine,True
Bench Press (Smith Machine),לחיצת חזה במכונת סמית׳,chest,Chest,machine,True
Bicep Curl (Cable),כפיפת מרפקים בכבל,arms,Biceps,machine,True
Bicep Curl (Machine),כפיפת מרפקים במכונה,arms,Biceps,machine,True
Butterfly (Pec Deck),פרפר חזה במכונת פק־דק,chest,Chest,machine,True
Cable Core Pallof Press,לחיצת פאלוף בכבל,core,Abdominals,machine,True
Cable Crunch,כפיפות בטן בכבל,core,Abdominals,machine,True
Standing Military Press (Barbell),לחיצת כתפיים צבאית בעמידה עם מוט,shoulders,Shoulders,barbell,True
Straight Leg Deadlift,דדליפט ברגליים ישרות,legs,Hamstrings,barbell,True
Sumo Squat (Barbell),סקוואט סומו עם מוט,legs,Quadriceps,barbell,True
T Bar Row,חתירת T-Bar,back,Upper Back,barbell,True
Thruster (Barbell),ת׳ראסטר עם מוט,full_body,Full Body,barbell,True
Triceps Extension (Barbell),פשיטת מרפקים עם מוט,arms,Triceps,barbell,True
Upright Row (Barbell),חתירה אנכית עם מוט,shoulders,Shoulders,barbell,True
Single Arm Landmine Press (Barbell),לחיצת לנדמיין ביד אחת עם מוט,shoulders,Shoulders,barbell,True
Single Leg Romanian Deadlift (Barbell),דדליפט רומני על רגל אחת עם מוט,legs,Hamstrings,barbell,True
Single Leg Standing Calf Raise (Barbell),עליית עקב בעמידה על רגל אחת עם מוט,legs,Calves,barbell,True
Skullcrusher (Barbell),פשיטת מרפקים בשכיבה (סקאל קראשר) עם מוט,arms,Triceps,barbell,True
Spider Curl (Barbell),כפיפת מרפקים ספיידר עם מוט,arms,Biceps,barbell,True
Squat (Barbell),סקוואט עם מוט,legs,Quadriceps,barbell,True
Standing Calf Raise (Barbell),עליות עקב בעמידה עם מוט,legs,Calves,barbell,True
Reverse Curl (Barbell),כפיפת מרפקים באחיזה הפוכה עם מוט,arms,Biceps,barbell,True
Reverse Lunge (Barbell),לאנג׳ לאחור עם מוט,legs,Quadriceps,barbell,True
Romanian Deadlift (Barbell),דדליפט רומני עם מוט,legs,Hamstrings,barbell,True
Seated Overhead Press (Barbell),לחיצת כתפיים מעל הראש בישיבה עם מוט,shoulders,Shoulders,barbell,True
Seated Wrist Extension (Barbell),פשיטת שורש כף היד בישיבה עם מוט,arms,Forearms,barbell,True
Shrug (Barbell),הרמת כתפיים עם מוט,back,Traps,barbell,True
Lying Knee Raise,הרמת ברכיים בשכיבה,core,Abdominals,none,True
Lying Leg Raise,הרמת רגליים בשכיבה,core,Abdominals,none,True
Lying Neck Curls,כפיפת צוואר בשכיבה,neck,Neck,none,True
Lying Neck Extension,פשיטת צוואר בשכיבה,neck,Neck,none,True
Negative Pull Up,מתח שלילי,back,Lats,none,True
Nordic Hamstrings Curls,כפיפות ברך נורדיות,legs,Hamstrings,none,True
Oblique Crunch,כפיפות בטן אלכסוניות,core,Abdominals,none,True
One Arm Push Up,שכיבת סמיכה ביד אחת,chest,Chest,none,True
Pike Pushup,שכיבות סמיכה פייק,shoulders,Shoulders,none,True
Plank,פלאנק,core,Abdominals,none,True
Plank Pushup,מעבר מפלאנק לשכיבת סמיכה,chest,Chest,none,True
Push Up,שכיבות סמיכה,chest,Chest,none,True
Push Up - Close Grip,שכיבות סמיכה באחיזה צרה,chest,Chest,none,True
Push Up (Weighted),שכיבות סמיכה עם משקל,chest,Chest,none,True
Reverse Crunch,כפיפות בטן הפוכות,core,Abdominals,none,True
Sit Up (Weighted),עליות בטן עם משקל,core,Abdominals,none,True
Squat (Bodyweight),סקוואט במשקל גוף,legs,Quadriceps,none,True
V Up,כפיפות בטן V,core,Abdominals,none,True
